Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price,product_id
Deanston 18 Year Old,46.3,70.0,68.95,403
Lagavulin 16 Year Old,43.0,70.0,81.75,3430
Macallan 12 Year Old,40.0,70.0,79.95,356
Ardbeg Ardcore & Uigeadail Duo,50.2,140.0,180.0,3079
Lochlea Our Barley,46.0,70.0,44.95,586
Macallan 12 Year Old Double Cask,40.0,70.0,66.95,28
Balvenie 14 Year Old,43.0,70.0,59.95,2413
Caperdonich 18 Year Old Peated,48.0,70.0,110.0,2055
Bunnahabhain 12 Year Old,46.3,70.0,44.95,4384
Personalised Highland Special Reserve Single Malt,48.0,70.0,59.95,3544
Mortlach 15 Year Old,46.0,70.0,86.95,3754
Macallan 18 Year Old Double Cask,43.0,70.0,320.0,2014
Balvenie 12 Year Old DoubleWood,40.0,70.0,46.75,1058
Glendronach 15 Year Old Revival,46.0,70.0,69.95,4368
Arran 10 Year Old,46.0,70.0,38.75,2685
Oban Bay Reserve,43.0,70.0,62.95,959
Glenfiddich 18 Year Old,40.0,70.0,81.95,3393
Ardbeg 10 Year Old,46.0,70.0,45.95,3467
Clynelish Reserve,51.2,70.0,42.95,3340
Cardhu Gold Reserve,40.0,70.0,42.95,4331
Ardbeg Uigeadail,54.2,70.0,62.75,2329
Longmorn 18 Year Old,48.0,70.0,87.45,1184
Old Pulteney 15 Year Old,46.0,70.0,69.25,9
Loch Lomond The Open Special Edition 2022,46.0,70.0,42.95,4229
Deanston 18 Year Old,46.3,70.0,68.95,963
Lagavulin 16 Year Old,43.0,70.0,81.75,1777
Macallan 12 Year Old,40.0,70.0,79.95,2470
Ardbeg Ardcore & Uigeadail Duo,50.2,140.0,180.0,820
Lochlea Our Barley,46.0,70.0,44.95,2317
Macallan 12 Year Old Double Cask,40.0,70.0,66.95,926
Balvenie 14 Year Old,43.0,70.0,59.95,2595
Caperdonich 18 Year Old Peated,48.0,70.0,110.0,3
Bunnahabhain 12 Year Old,46.3,70.0,44.95,3558
Personalised Highland Special Reserve Single Malt,48.0,70.0,59.95,253
Mortlach 15 Year Old,46.0,70.0,86.95,3216
Macallan 18 Year Old Double Cask,43.0,70.0,320.0,2736
Balvenie 12 Year Old DoubleWood,40.0,70.0,46.75,291
Glendronach 15 Year Old Revival,46.0,70.0,69.95,685
Arran 10 Year Old,46.0,70.0,38.75,4336
Oban Bay Reserve,43.0,70.0,62.95,3640
Glenfiddich 18 Year Old,40.0,70.0,81.95,4170
Ardbeg 10 Year Old,46.0,70.0,45.95,1974
Clynelish Reserve,51.2,70.0,42.95,4434
Cardhu Gold Reserve,40.0,70.0,42.95,906
Ardbeg Uigeadail,54.2,70.0,62.75,2118
Longmorn 18 Year Old,48.0,70.0,87.45,583
Old Pulteney 15 Year Old,46.0,70.0,69.25,3295
Loch Lomond The Open Special Edition 2022,46.0,70.0,42.95,1578
Talisker 10 Year Old,45.8,70.0,44.95,86
Laphroaig 10 Year Old,40.0,70.0,39.95,3491
Blair Athol 12 Year Old,43.0,70.0,48.95,2240
Port Charlotte 10 Year Old,50.0,70.0,52.75,1534
Ardnamurchan AD Single Malt,46.8,70.0,46.95,1445
Dalmore Port Wood Reserve Gift Set,46.5,70.0,79.95,202
Glen Scotia Double Cask,46.0,70.0,39.95,1583
Dalmore 15 Year Old,40.0,70.0,83.95,4458
Caol Ila 12 Year Old,43.0,70.0,46.95,1797
Glenfarclas 15 Year Old,57.1,70.0,74.95,4213
Glenallachie 12 Year Old,46.0,70.0,47.95,1588
Aberlour 16 Year Old,40.0,70.0,76.95,1886
Royal Lochnagar 12 Year Old,40.0,70.0,40.95,732
Talisker 2011 Distillers Edition,45.8,70.0,62.75,714
Laphroaig 10 Year Old Sherry Oak Finish,48.0,70.0,59.95,3774
Glenfiddich 21 Year Old,40.0,70.0,160.0,2918
Highland Park 12 Year Old,40.0,70.0,33.45,2988
Dalwhinnie 15 Year Old,43.0,70.0,44.95,1243
Oban 2006 Distillers Edition,43.0,70.0,78.95,2840
Nc'nean Organic Single Malt,46.0,70.0,46.95,268
Laphroaig 10 Year Old,58.6,70.0,73.95,1436
Glenlivet 12 Year Old,40.0,70.0,37.95,451
Edradour 10 Year Old,40.0,70.0,44.45,2476
Dailuaine 16 Year Old,43.0,70.0,59.95,3272
Lagavulin 8 Year Old,48.0,70.0,59.95,3405
Glenallachie 15 Year Old,46.0,70.0,66.95,2424
Ailsa Bay Sweet Smoke,48.9,70.0,55.95,1052
Glenfiddich Project XX,47.0,70.0,48.95,3304
Glendronach 21 Year Old Parliament,48.0,70.0,175.0,2138
Bunnahabhain 18 Year Old,46.3,70.0,128.0,1308
Oban 14 Year Old,43.0,70.0,76.95,2475
Glenmorangie Signet,46.0,70.0,165.0,4457
Aberlour 14 Year Old,40.0,70.0,54.45,4255
Talisker 10 Year Old Dry Bag Gift Set,45.8,70.0,55.95,209
Arran Sherry Cask,55.8,70.0,55.75,2679
Singleton Glendullan Reserve,40.0,70.0,49.95,618
MacDonald's Traditional Ben Nevis,46.0,70.0,46.95,36
Clynelish 14 Year Old,46.0,70.0,49.95,1487
Ben Nevis 10 Year Old,46.0,70.0,52.95,3506
Glenfiddich 23 Year Old,40.0,70.0,240.0,980
Mortlach 16 Year Old,43.4,70.0,105.0,3178
Aberfeldy 12 Year Old,40.0,70.0,39.95,1332
Kilchoman Machir Bay,46.0,70.0,41.95,4501
Talisker Port Ruighe,45.8,70.0,51.95,2637
Glenfarclas 25 Year Old,43.0,70.0,215.0,4218
Glenfarclas 10 Year Old,40.0,70.0,35.95,4123
Ledaig 10 Year Old,46.3,70.0,42.75,52
Strathisla 2006,59.0,50.0,69.95,3439
Highland Park Cask Strength,63.9,70.0,57.95,369
Edradour 12 Year Old,46.0,70.0,62.75,3059
Cragganmore 12 Year Old,40.0,20.0,14.95,1234
Mortlach 2007,52.0,70.0,135.0,1523
Glenfarclas 15 Year Old,46.7,80.0,69.95,1167
Longmorn 2005,61.6,50.0,74.95,1379
Balvenie The Edge of Burnhead Wood,48.7,70.0,265.0,2187
Clynelish 14 Year Old,46.0,20.0,14.95,3907
Dalmore 12 Year Old,40.0,70.0,54.95,661
Glenmorangie 10 Year Old Original,40.0,70.0,36.95,3356
Glenlivet 2007,58.0,50.0,79.95,1195
